New England Patriots Wins vs. Loses by Month From 2013-2016,
Month,Score
Sept,W
Sept,W
Sept,W
Sept,W
Sept,L
Sept,w
Sept,W
Sept,L
Sept,W
Sept,W
Sept,L
Sept,w
Sept,w
Sept,w
Oct,W
Oct,L
Oct,W
Oct,L
Oct,W
Oct,W
Oct,W
Oct,W
Oct,W
Oct,W
Oct,W
Oct,W
Oct,W
Oct,L
Oct,W
Oct,W
Nov,L
Nov,W
Nov,W
Nov,W
Nov,W
Nov,W
Nov,L
Nov,W
Nov,W
Nov,W
Nov,L
Nov,W
Nov,W
Dec,W
Dec,W
Dec,L
Dec,W
Dec,W
Dec,W
Dec,W
Dec,W
Dec,L
Dec,L
Dec,W
Dec,W
Dec,L
Dec,W
Dec,W
Dec,W
Dec,W
